VCASN: 69 ITHR: 51
8 789 169.78 10.83 27.98
8 818 182.92 9.71 27.64
8 895 193.67 8.92 27.51
8 932 179.29 8.61 27.31
8 938 183.10 9.20 27.53
8 947 198.03 9.18 27.39
8 974 176.25 9.03 27.44
8 991 161.78 8.70 27.51
9 52 133.73 11.38 27.36
9 189 185.83 10.84 28.23
9 208 185.77 8.23 27.36
9 307 172.19 10.83 28.10
9 317 184.71 7.64 27.74
9 335 146.17 11.31 28.02
9 393 182.03 8.91 27.42
9 423 171.13 9.29 27.35
9 447 167.07 6.93 27.62
9 473 188.77 9.77 27.41
9 480 182.15 9.86 27.42
9 538 174.58 9.84 27.87
9 553 194.70 8.65 27.47
9 569 156.53 9.86 27.57
9 634 194.18 7.48 27.50
9 670 159.11 9.91 28.35
9 697 206.67 9.27 27.46
9 719 183.07 10.98 27.66
9 729 160.58 10.64 27.64
9 777 196.71 8.16 27.76
9 825 173.83 9.21 27.41
9 835 145.27 10.39 27.62
9 854 166.69 8.72 27.32
9 859 154.53 11.28 27.55
9 872 188.40 9.76 27.70
9 935 166.69 6.61 27.44
9 939 192.98 12.30 27.80
9 970 152.03 11.88 27.91
9 982 183.32 12.62 27.83
9 986 178.29 9.02 27.41
9 1014 183.27 8.47 27.88
10 5 222.56 9.61 27.53
10 7 203.78 11.47 27.54
10 17 140.10 10.63 27.44
10 28 169.26 8.25 27.55
10 73 204.36 10.40 27.34
10 122 166.84 9.57 27.39
10 152 167.56 12.62 28.72
10 191 181.89 12.86 27.45
10 268 167.69 10.70 27.47
10 274 161.56 11.76 27.50
10 310 169.13 9.64 27.48
10 311 164.61 9.42 27.99
10 343 177.91 11.44 27.64
10 377 175.56 9.69 27.40
10 385 170.91 10.80 0.31
10 387 182.92 13.45 27.95
10 432 180.19 7.54 27.38
10 465 199.39 8.71 27.49
10 467 168.28 9.08 27.39
10 519 166.23 7.21 28.03
10 546 173.58 9.35 27.79
10 623 161.06 11.26 27.83
10 631 186.63 10.63 27.35
10 635 189.44 12.33 28.22
10 660 179.77 10.15 27.61
10 704 168.73 12.20 28.27
10 763 156.22 9.57 27.43
10 781 185.33 10.32 27.40
10 858 157.21 10.99 27.57
10 895 185.77 9.24 27.34
10 919 176.15 7.59 27.47
10 945 211.09 9.73 27.63
10 946 175.03 7.88 27.34
10 1015 160.09 11.70 27.62
11 2 168.88 8.00 27.39
11 24 160.61 10.00 27.43
11 99 175.55 10.08 27.76
11 100 159.18 8.56 27.61
11 101 191.35 9.06 27.45
11 158 161.70 9.05 27.32
11 168 193.80 7.85 27.91
11 172 157.67 7.95 27.52
11 180 182.43 8.26 27.36
11 231 183.96 11.54 27.38
11 243 150.70 10.74 28.53
11 313 175.69 7.83 27.41
11 315 159.76 10.41 27.32
11 401 162.09 10.32 27.47
11 410 182.33 10.45 27.44
11 431 187.95 8.38 27.47
11 520 189.19 12.04 27.65
11 529 195.80 9.10 27.30
11 583 176.44 11.74 27.80
11 590 147.80 9.45 27.65
11 665 164.90 10.83 27.43
11 669 197.66 8.42 27.33
11 681 183.22 8.31 27.51
11 726 184.86 13.21 27.69
11 737 152.17 10.09 27.51
11 889 165.43 10.43 27.53
11 906 200.58 10.76 27.63
11 910 170.62 9.46 27.37
11 924 186.91 8.99 27.59
11 986 171.19 9.31 27.38
11 1011 178.35 10.55 27.36
11 1012 175.41 10.58 28.07
12 69 139.46 11.10 27.65
12 98 194.51 9.42 27.51
12 171 171.61 9.59 27.65
12 172 169.20 9.87 27.69
12 206 148.68 10.21 27.40
12 272 161.81 13.16 27.98
12 305 183.54 11.34 27.68
12 337 179.44 9.40 27.61
12 405 168.27 11.97 27.38
12 420 204.79 9.31 27.39
12 423 180.45 10.28 27.65
12 426 150.10 6.95 27.34
12 486 163.27 10.50 27.43
12 519 210.00 9.50 27.58
12 532 164.54 9.63 27.34
12 538 212.43 11.18 27.49
12 542 148.92 9.71 28.06
12 543 188.25 8.31 27.41
12 628 195.85 11.02 27.54
12 648 169.91 9.14 27.35
12 665 194.07 10.04 27.46
12 715 194.62 8.58 27.33
12 725 144.70 9.55 27.45
12 744 176.57 8.14 27.57
12 746 160.75 7.24 27.31
12 766 170.82 9.95 27.33
12 769 198.75 9.47 27.41
12 798 168.57 8.73 27.45
12 909 209.28 8.01 28.01
12 939 175.22 8.92 27.61
12 987 162.51 8.83 27.56
13 18 156.91 8.71 27.45
13 24 195.75 10.94 27.54
13 67 187.11 10.50 27.70
13 83 171.57 6.95 27.42
13 88 192.77 11.42 27.46
13 116 152.68 8.73 27.44
13 237 193.10 8.97 27.66
13 243 194.86 10.71 27.61
13 326 183.72 7.80 27.38
13 343 185.42 8.25 27.66
13 345 182.67 12.43 27.39
13 347 183.41 10.45 27.49
13 348 171.61 9.88 27.45
13 373 162.42 9.91 27.64
13 402 155.78 12.84 27.66
13 448 173.00 10.18 27.42
13 479 170.52 9.14 27.39
13 517 160.43 10.25 27.39
13 519 185.05 10.75 27.53
13 520 182.41 10.83 27.60
13 569 188.47 9.21 27.40
13 576 196.77 10.71 27.47
13 606 192.57 9.72 27.45
13 629 157.80 10.65 27.39
13 683 176.90 10.65 27.76
13 697 218.13 9.01 27.38
13 723 194.36 7.85 27.30
13 749 170.02 12.30 27.93
13 751 150.10 7.89 27.54
13 855 189.27 10.21 27.46
13 857 179.71 10.87 27.59
13 908 184.61 7.57 27.44
13 927 187.02 9.56 27.46
13 931 178.18 5.43 27.44
13 933 191.69 11.48 27.76
13 971 163.21 10.71 27.80
13 997 191.54 9.15 27.52
14 10 189.34 8.07 27.61
14 55 163.56 10.22 27.42
14 71 159.61 9.31 27.37
14 116 149.01 14.42 27.50
14 182 156.82 9.29 27.38
14 192 185.38 9.90 27.34
14 208 179.67 11.24 27.48
14 267 189.71 7.21 27.60
14 284 174.52 9.56 27.69
14 310 203.68 9.80 27.40
14 342 175.24 9.01 27.60
14 418 189.25 9.20 27.35
14 530 166.70 11.54 27.42
14 554 152.43 8.33 27.55
14 576 177.68 8.65 27.44
14 584 161.70 8.15 27.38
14 613 171.42 11.31 27.40
14 667 176.30 9.40 27.72
14 685 184.98 11.34 27.55
14 713 164.30 10.31 27.93
14 722 182.91 10.14 27.46
14 843 163.20 8.79 27.37
14 852 175.90 8.48 27.38
14 913 171.62 9.17 27.41
14 950 165.73 9.32 27.37
14 983 173.47 10.09 27.75
14 1009 248.54 8.98 27.44
14 1010 183.19 9.13 27.70
14 1016 157.03 10.78 27.55
15 0 171.37 10.14 27.75
15 12 174.72 12.07 27.45
15 100 172.59 10.52 27.59
15 139 183.09 11.65 27.69
15 160 159.53 11.36 28.68
15 199 186.52 8.08 28.25
15 201 197.22 9.56 27.39
15 228 153.60 9.57 27.36
15 431 213.57 12.37 27.88
15 471 166.76 8.70 27.61
15 474 174.85 9.32 27.77
15 489 186.63 12.44 28.29
15 526 182.24 8.38 27.33
15 538 143.81 9.14 27.51
15 560 169.17 11.65 27.86
15 610 1069.76 10.00 0.01
15 640 167.71 10.53 27.58
15 667 150.40 8.89 27.45
15 727 148.93 9.24 28.24
15 754 157.20 9.23 27.99
15 762 198.08 8.35 27.56
15 771 158.07 11.82 27.58
15 789 194.04 12.89 27.48
15 820 199.69 9.44 27.40
15 874 198.84 8.40 27.80
15 889 203.54 9.01 27.43
15 968 204.05 10.81 27.55
15 971 193.80 9.41 27.38
15 1006 161.77 10.26 27.34
16 6 195.28 8.97 27.52
16 125 182.50 10.83 28.29
16 128 191.43 8.76 27.37
16 132 176.65 10.53 27.48
16 233 187.33 9.16 27.52
16 270 154.42 10.60 27.93
16 278 163.16 9.93 27.46
16 285 148.08 10.24 27.50
16 301 164.22 9.55 27.98
16 412 169.76 9.44 27.46
16 455 151.46 9.49 27.42
16 464 175.01 10.86 27.42
16 532 186.71 10.00 27.32
16 533 156.47 8.61 27.55
16 616 174.09 13.23 27.67
16 627 179.00 10.83 27.37
16 656 192.77 12.83 27.36
16 706 137.63 9.92 27.39
16 741 174.47 10.14 27.48
16 745 181.47 11.12 27.56
16 763 222.22 11.99 27.67
16 780 182.86 9.68 27.70
16 809 195.43 9.81 27.34
16 893 150.18 7.70 27.48
16 949 159.21 9.64 28.15
16 970 186.43 9.80 27.40
16 995 202.99 9.88 27.33
16 1000 170.77 9.80 27.57
16 1006 167.58 6.90 27.42
17 20 154.36 10.10 27.45
17 31 177.98 7.86 27.31
17 60 180.12 9.15 27.40
17 65 181.39 8.14 27.46
17 67 161.20 9.50 27.31
17 73 154.13 7.49 27.38
17 136 192.71 10.21 27.54
17 163 151.19 10.94 27.55
17 170 181.86 11.88 27.53
17 195 161.56 7.89 27.47
17 221 180.97 8.29 27.91
17 443 191.23 7.31 27.32
17 461 180.03 11.42 27.50
17 530 164.96 7.91 27.48
17 538 158.37 7.45 27.29
17 554 194.79 9.79 27.35
17 593 171.41 8.69 27.90
17 605 191.63 10.23 27.38
17 608 154.99 10.33 27.85
17 613 180.59 9.82 27.52
17 638 196.55 10.39 27.61
17 719 181.97 10.44 27.52
17 720 182.05 10.59 27.38
17 752 136.01 8.51 27.41
17 764 170.77 8.59 27.41
17 781 211.45 8.46 27.62
17 836 181.40 10.12 27.41
17 862 150.36 10.03 27.44
17 877 184.29 10.00 27.48
17 889 140.60 12.14 27.75
17 910 174.56 9.85 27.39
17 912 188.22 9.98 27.46
17 954 189.27 9.92 27.33
17 965 213.91 7.76 27.64
17 978 161.94 10.66 27.32
17 1021 179.18 9.48 27.48
18 14 185.90 11.31 27.46
18 54 177.87 8.06 27.32
18 61 176.48 9.18 27.40
18 93 180.69 8.38 27.32
18 117 167.50 10.76 27.56
18 125 176.87 12.93 27.56
18 151 186.63 10.00 27.42
18 181 201.86 11.52 27.42
18 203 175.99 10.30 27.47
18 217 174.11 10.49 27.79
18 234 182.74 9.86 27.85
18 322 165.56 9.79 27.51
18 326 204.21 8.68 27.70
18 327 179.11 11.59 27.93
18 379 181.00 8.77 27.39
18 398 186.97 6.96 27.45
18 416 173.65 9.18 27.35
18 417 170.03 7.17 27.38
18 438 179.08 8.82 27.41
18 493 159.53 7.14 27.30
18 499 208.23 7.07 27.35
18 558 161.43 9.45 27.64
18 597 172.84 9.96 27.48
18 630 178.63 9.58 27.86
18 672 158.27 11.36 27.82
18 713 141.24 10.14 27.36
18 851 160.93 8.53 28.02
18 976 173.97 11.67 27.85
19 21 167.64 10.85 27.55
19 78 156.69 11.67 27.86
19 138 170.67 13.49 28.07
19 143 176.80 7.53 27.33
19 145 141.74 11.69 27.57
19 232 203.87 10.75 27.35
19 308 156.42 11.08 27.36
19 347 158.19 8.52 27.44
19 377 167.05 8.68 27.32
19 410 186.16 8.75 27.38
19 432 153.19 13.38 27.80
19 452 149.20 9.42 27.54
19 536 168.97 10.53 27.53
19 614 177.23 9.75 27.43
19 657 201.98 9.65 27.47
19 714 175.76 8.00 27.42
19 718 194.26 11.09 27.51
19 749 192.71 10.93 27.40
19 802 186.94 11.05 28.49
19 820 190.78 7.53 27.40
19 930 177.39 6.83 27.50
19 953 194.24 10.38 27.38
19 966 170.83 11.40 27.87
19 970 178.98 8.83 27.36
19 971 189.75 10.87 27.75
19 982 180.36 11.37 27.38
19 1017 192.89 9.53 27.64
20 63 135.09 8.60 27.59
20 157 166.67 12.58 27.62
20 171 154.58 8.45 27.34
20 177 167.01 9.61 27.36
20 187 162.74 8.41 27.38
20 217 152.07 9.13 27.66
20 225 178.60 11.67 27.90
20 236 173.07 10.62 27.40
20 489 180.74 9.48 27.45
20 497 195.09 9.24 27.47
20 519 187.05 12.54 27.65
20 547 187.31 10.34 27.71
20 552 176.01 10.41 27.98
20 566 161.87 8.98 27.33
20 575 213.68 9.58 27.46
20 656 171.35 9.75 27.73
20 661 141.44 9.77 27.91
20 662 154.55 10.07 27.50
20 671 166.36 8.91 27.50
20 685 199.54 9.42 27.36
20 708 199.56 9.20 28.78
20 727 174.56 6.46 27.50
20 789 160.02 12.43 27.90
20 870 147.56 9.25 27.38
20 918 162.48 11.16 27.62
20 946 168.63 10.53 28.15
20 949 184.98 11.89 27.54
20 960 167.11 8.39 27.48
20 1012 179.91 9.16 27.50
21 33 170.07 8.16 27.55
21 64 146.19 11.43 27.63
21 125 155.36 11.37 27.53
21 140 164.37 9.83 27.49
21 183 158.42 9.00 27.70
21 187 152.95 9.60 27.60
21 206 156.39 8.19 27.37
21 271 165.85 10.33 27.40
21 298 181.96 8.19 28.12
21 311 147.21 11.01 27.66
21 373 180.08 9.95 27.52
21 379 162.73 9.59 27.34
21 402 157.20 8.33 27.53
21 474 161.76 7.97 27.42
21 565 209.92 9.69 27.48
